Norway's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
2014,Sochi,Skiing,"KLEMETSEN, Haavard",NOR,Men,"Team, 4X5 KM",1
2014,Sochi,Skiing,"KROG, Magnus",NOR,Men,"Team, 4X5 KM",1
2014,Sochi,Skiing,"MOAN, Magnus Hovdal",NOR,Men,"Team, 4X5 KM",1
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,1500M,2
1924,Chamonix,Skating,"OLSEN, Oskar",NOR,Men,500M,2
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,Combined (4 Events),2
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,18KM,2
1924,Chamonix,Skiing,"STR’_MSTAD, Thoralf",NOR,Men,50KM,2
1924,Chamonix,Skiing,"STR’_MSTAD, Thoralf",NOR,Men,Individual,2
1924,Chamonix,Skiing,"BONNA, Narve",NOR,Men,K90 Individual (70M),2
1928,St.Moritz,Skating,"EVENSEN, Bernt",NOR,Men,1500M,2
1928,St.Moritz,Skiing,"HEGGE, Ole",NOR,Men,18KM,2
1928,St.Moritz,Skiing,"VINJARENGEN, Hans",NOR,Men,Individual,2
1928,St.Moritz,Skiing,"RUUD, Sigmund",NOR,Men,K90 Individual (70M),2
1932,Lake Placid,Skating,"BALLANGRUD, Ivar",NOR,Men,10000M,2
1932,Lake Placid,Skating,"EVENSEN, Bernt",NOR,Men,500M,2
1932,Lake Placid,Skiing,"STENEN, Ole",NOR,Men,Individual,2
1932,Lake Placid,Skiing,"BECK, Hans",NOR,Men,K90 Individual (70M),2
1936,Garmisch Partenkirchen,Skating,"BALLANGRUD, Ivar",NOR,Men,1500M,2
1936,Garmisch Partenkirchen,Skating,"KROG, Georg",NOR,Men,500M,2
1936,Garmisch Partenkirchen,Skiing,"HAGEN, Oddbjorn",NOR,Men,18KM,2
1936,Garmisch Partenkirchen,Skiing,"BRODAHL, Sverre",NOR,Men,4X10KM Relay,2
1936,Garmisch Partenkirchen,Skiing,"HAGEN, Oddbjorn",NOR,Men,4X10KM Relay,2
1936,Garmisch Partenkirchen,Skiing,"HOFFSBAKKEN, Olaf",NOR,Men,4X10KM Relay,2
1936,Garmisch Partenkirchen,Skiing,"IVERSEN, Bjarne",NOR,Men,4X10KM Relay,2
1936,Garmisch Partenkirchen,Skiing,"HOFFSBAKKEN, Olaf",NOR,Men,Individual,2
1948,St.Moritz,Skating,"LUNDBERG, Odd",NOR,Men,5000M,2
1948,St.Moritz,Skating,"BYBERG, Thomas",NOR,Men,500M,2
1948,St.Moritz,Skiing,"RUUD, Birger",NOR,Men,K90 Individual (70M),2
1952,Oslo,Skiing,"ERIKSEN, Stein",NOR,Men,Slalom,2
1952,Oslo,Skiing,"BRENDEN, Hallgeir",NOR,Men,4X10KM Relay,2
1952,Oslo,Skiing,"ESTENSTAD, Magnar",NOR,Men,4X10KM Relay,2
1952,Oslo,Skiing,"KIRKHOLT, Mikal",NOR,Men,4X10KM Relay,2
1952,Oslo,Skiing,"STOKKEN, Martin",NOR,Men,4X10KM Relay,2
1952,Oslo,Skiing,"FALKANGER, Torbjorn",NOR,Men,K90 Individual (70M),2
1956,Cortina d'Ampezzo,Skating,"JOHANNESEN, Knut",NOR,Men,10000M,2
1960,Squaw Valley,Skating,"JOHANNESEN, Knut",NOR,Men,5000M,2
1960,Squaw Valley,Skiing,"BRENDEN, Hallgeir",NOR,Men,4X10KM Relay,2
1960,Squaw Valley,Skiing,"BRUSVEEN, Haakon",NOR,Men,4X10KM Relay,2
1960,Squaw Valley,Skiing,"GR’_NNINGEN, Harald",NOR,Men,4X10KM Relay,2
1960,Squaw Valley,Skiing,"’_STBY, Einar",NOR,Men,4X10KM Relay,2
1960,Squaw Valley,Skiing,"KNUTSEN, Tormod",NOR,Men,Individual,2
1964,Innsbruck,Skating,"MAIER, Fred Anton",NOR,Men,10000M,2
1964,Innsbruck,Skating,"MOE, Per Ivar",NOR,Men,5000M,2
1964,Innsbruck,Skating,"GJESTVANG, Alv",NOR,Men,500M,2
1964,Innsbruck,Skiing,"GR’_NNINGEN, Harald",NOR,Men,15KM,2
1964,Innsbruck,Skiing,"GR’_NNINGEN, Harald",NOR,Men,30KM Mass Start,2
1964,Innsbruck,Skiing,"ENGAN, Toralf",NOR,Men,K90 Individual (70M),2
1968,Grenoble,Biathlon,"ISTAD, Jon",NOR,Men,4X7.5KM Relay,2
1968,Grenoble,Biathlon,"JORDET, Olav",NOR,Men,4X7.5KM Relay,2
1968,Grenoble,Biathlon,"SOLBERG, Magnar",NOR,Men,4X7.5KM Relay,2
1968,Grenoble,Biathlon,"WAERHAUG, Ola",NOR,Men,4X7.5KM Relay,2
1968,Grenoble,Skating,"MAIER, Fred Anton",NOR,Men,10000M,2
1968,Grenoble,Skating,"ERIKSEN, Ivar",NOR,Men,1500M,2
1968,Grenoble,Skating,"THOMASSEN, Magne",NOR,Men,500M,2
1968,Grenoble,Skiing,"M’_RDRE, Berit",NOR,Women,10KM,2
1968,Grenoble,Skiing,"MARTINSEN, Odd",NOR,Men,30KM Mass Start,2
1972,Sapporo,Skating,"GR’_NVOLD, Roar",NOR,Men,1500M,2
1972,Sapporo,Skating,"GR’_NVOLD, Roar",NOR,Men,5000M,2
1972,Sapporo,Skiing,"TYLDUM, Paal",NOR,Men,30KM Mass Start,2
1972,Sapporo,Skiing,"BRAA, Oddvar",NOR,Men,4X10KM Relay,2
1972,Sapporo,Skiing,"FORMO, Ivar",NOR,Men,4X10KM Relay,2
1972,Sapporo,Skiing,"HARVIKEN, Johs",NOR,Men,4X10KM Relay,2
1972,Sapporo,Skiing,"TYLDUM, Paal",NOR,Men,4X10KM Relay,2
1972,Sapporo,Skiing,"MYRMO, Magne",NOR,Men,50KM,2
1976,Innsbruck,Skating,"STENSEN, Sten",NOR,Men,10000M,2
1976,Innsbruck,Skating,"DIDRIKSEN, J’_rn",NOR,Men,1000M,2
1976,Innsbruck,Skiing,"FORMO, Ivar",NOR,Men,4X10KM Relay,2
1976,Innsbruck,Skiing,"MARTINSEN, Odd",NOR,Men,4X10KM Relay,2
1976,Innsbruck,Skiing,"SAGSTUEN, Einar",NOR,Men,4X10KM Relay,2
1976,Innsbruck,Skiing,"TYLDUM, Paal",NOR,Men,4X10KM Relay,2
1980,Lake Placid,Skating,"STENSHJEMMET, Kai Arne",NOR,Men,1500M,2
1980,Lake Placid,Skating,"STENSHJEMMET, Kai Arne",NOR,Men,5000M,2
1980,Lake Placid,Skiing,"AALAND, Per Knut",NOR,Men,4X10KM Relay,2
1980,Lake Placid,Skiing,"AUNLI, Ove",NOR,Men,4X10KM Relay,2
1980,Lake Placid,Skiing,"BRAA, Oddvar",NOR,Men,4X10KM Relay,2
1980,Lake Placid,Skiing,"ERIKSEN, Lars Erik",NOR,Men,4X10KM Relay,2
1984,Sarajevo,Biathlon,"KVALFOSS, Eirik",NOR,Men,4X7.5KM Relay,2
1984,Sarajevo,Biathlon,"LIRHUS, Odd",NOR,Men,4X7.5KM Relay,2
1984,Sarajevo,Biathlon,"S’_BAK, Kjell",NOR,Men,4X7.5KM Relay,2
1984,Sarajevo,Biathlon,"STORSVEEN, Rolf",NOR,Men,4X7.5KM Relay,2
1984,Sarajevo,Skiing,"AUNLI, Berit",NOR,Women,5KM,2
1988,Calgary,Skiing,"MIKKELSPLASS, Paal Gunnar",NOR,Men,15KM,2
1988,Calgary,Skiing,"DAHLMO, Marianne",NOR,Women,4X5KM Relay,2
1988,Calgary,Skiing,"DYBENDAHL HARTZ, Trude",NOR,Women,4X5KM Relay,2
1988,Calgary,Skiing,"JAHREN, Anne",NOR,Women,4X5KM Relay,2
1988,Calgary,Skiing,"MIKKELSPLASS, Marit",NOR,Women,4X5KM Relay,2
1988,Calgary,Skiing,"JOHNSEN, Erik",NOR,Men,K120 Individual (90M),2
1992,Albertville,Skating,"KOSS, Johann Olav",NOR,Men,10000M,2
1992,Albertville,Skating,"SONDRAL, Adne",NOR,Men,1500M,2
1992,Albertville,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,30KM Mass Start,2
1992,Albertville,Skiing,"DYBENDAHL HARTZ, Trude",NOR,Women,4X5KM Relay,2
1992,Albertville,Skiing,"NILSEN, Elin",NOR,Women,4X5KM Relay,2
1992,Albertville,Skiing,"NYBRAATEN, Inger Helene",NOR,Women,4X5KM Relay,2
1992,Albertville,Skiing,"PEDERSEN, Solveig",NOR,Women,4X5KM Relay,2
1992,Albertville,Skiing,"ULVANG, Vegard",NOR,Men,Combined 10KM + 15KM Pursuit,2
1992,Albertville,Skiing,"APELAND, Knut",NOR,Men,Team,2
1992,Albertville,Skiing,"ELDEN, Trond Einar",NOR,Men,Team,2
1992,Albertville,Skiing,"LUNDBERG, Fred Boerre",NOR,Men,Team,2
1994,Lillehammer,Skating,"STORELID, Kjell",NOR,Men,10000M,2
1994,Lillehammer,Skating,"STORELID, Kjell",NOR,Men,5000M,2
1994,Lillehammer,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Alpine Combined,2
1994,Lillehammer,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Downhill,2
