United States's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
2002,Salt Lake City,Skiing,"CLARK, Kelly",USA,Women,Half-Pipe,1
2006,Turin,Skating,"OHNO, Apolo Anton",USA,Men,500M,1
2006,Turin,Skating,"DAVIS, Shani",USA,Men,1000M,1
2006,Turin,Skating,"HEDRICK, Chad",USA,Men,5000M,1
2006,Turin,Skating,"CHEEK, Joey",USA,Men,500M,1
2006,Turin,Skiing,"LIGETY, Ted",USA,Men,Alpine Combined,1
2006,Turin,Skiing,"MANCUSO, Julia",USA,Women,Giant Slalom,1
2006,Turin,Skiing,"WHITE, Shaun",USA,Men,Half-Pipe,1
2006,Turin,Skiing,"TETER, Hannah",USA,Women,Half-Pipe,1
2006,Turin,Skiing,"WESCOTT, Seth",USA,Men,Snowboard Cross,1
2010,Vancouver,Bobsleigh,"HOLCOMB, Steven",USA,Men,Four-Man,1
2010,Vancouver,Bobsleigh,"MESLER, Steve",USA,Men,Four-Man,1
2010,Vancouver,Bobsleigh,"OLSEN, Justin",USA,Men,Four-Man,1
2010,Vancouver,Bobsleigh,"TOMASEVICZ, Curtis",USA,Men,Four-Man,1
2010,Vancouver,Skating,"LYSACEK, Evan",USA,Men,Individual,1
2010,Vancouver,Skating,"DAVIS, Shani",USA,Men,1000M,1
2010,Vancouver,Skiing,"VONN, Lindsey",USA,Women,Downhill,1
2010,Vancouver,Skiing,"MILLER, Bode",USA,Men,Super Combined,1
2010,Vancouver,Skiing,"KEARNEY, Hannah",USA,Women,Moguls,1
2010,Vancouver,Skiing,"DEMONG, Bill",USA,Men,Sprint K120,1
2010,Vancouver,Skiing,"WHITE, Shaun",USA,Men,Half-Pipe,1
2010,Vancouver,Skiing,"WESCOTT, Seth",USA,Men,Snowboard Cross,1
2014,Sochi,Skating,"WHITE, Charlie",USA,Men,Ice Dancing,1
2014,Sochi,Skating,"DAVIS, Meryl",USA,Women,Ice Dancing,1
2014,Sochi,Skiing,"LIGETY, Ted",USA,Men,Giant Slalom,1
2014,Sochi,Skiing,"SHIFFRIN, Mikaela",USA,Women,Slalom,1
2014,Sochi,Skiing,"WISE, David",USA,Men,Ski Halfpipe,1
2014,Sochi,Skiing,"CHRISTENSEN, Joss",USA,Men,Ski Slopestyle,1
2014,Sochi,Skiing,"BOWMAN, Maddie",USA,Women,Ski Halfpipe,1
2014,Sochi,Skiing,"KOTSENBURG, Sage",USA,Men,Slopestyle,1
2014,Sochi,Skiing,"FARRINGTON, Kaitlyn",USA,Women,Half-Pipe,1
2014,Sochi,Skiing,"ANDERSON, Jamie",USA,Women,Slopestyle,1
1924,Chamonix,Ice Hockey,"ABEL, Clarence John",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"DRURY, Herbert L.",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"GERAN, N.",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"LACROIX, Alphonse",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"LANGLEY, John Arthur",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"LYONS, John Sharkey",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"MAC CARTHY, Justin",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"RICE, Willard",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"SMALL, Irving Wheeler",USA,Men,Ice Hockey,2
1924,Chamonix,Ice Hockey,"SYNNOTT, Francis Allen",USA,Men,Ice Hockey,2
1924,Chamonix,Skating,"LOUGHRAN, Beatrix",USA,Women,Individual,2
1928,St.Moritz,Bobsleigh,"DOE, Thomas",USA,Men,Five-Man,2
1928,St.Moritz,Bobsleigh,"GRANGER, David",USA,Men,Five-Man,2
1928,St.Moritz,Bobsleigh,"HEATON, Jennison",USA,Men,Five-Man,2
1928,St.Moritz,Bobsleigh,"HINE, Lyman",USA,Men,Five-Man,2
1928,St.Moritz,Bobsleigh,"O'BRIEN, Jay James",USA,Men,Five-Man,2
1928,St.Moritz,Bobsleigh,"HEATON, John",USA,Men,Individual,2
1932,Lake Placid,Bobsleigh,"ASHFORTH, Albert",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"BRYANT, Precy D.",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"GOODRICH, Hunter",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"HACKNEY, Clement",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"HOMBURGER, Henry A.",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"HORTON, Edmund C",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"LIPSON, Howard S",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"MARTIN, Harry G",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"STEVENS, Curtis",USA,Men,Four-Man,2
1932,Lake Placid,Bobsleigh,"STEVENS, Francis Paul",USA,Men,Four-Man,2
1932,Lake Placid,Ice Hockey,"ANDERSON, Osborn",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"BENT, John Peale",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"CHASE, John Pierce",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"COOKMAN, John Emery",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"EVERETT, Douglas Newton",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"FARRELL, Franklin",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"FITZGERALD, Joseph",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"FRAZIER, Edward Hartwell",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"GARRISON, John Bright",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"HALLOCK, Gerard",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"LIVINGSTON, Robert Cambridge",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"NELSON, Francis Augustus",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"PALMER, Winthrop Hale",USA,Men,Ice Hockey,2
1932,Lake Placid,Ice Hockey,"SMITH, Gordon",USA,Men,Ice Hockey,2
1932,Lake Placid,Skating,"BADGER, Sherwin",USA,Men,Pairs,2
1932,Lake Placid,Skating,"LOUGHRAN, Beatrix",USA,Women,Pairs,2
1932,Lake Placid,Skating,"MURPHY, Edward",USA,Men,5000M,2
1948,St.Moritz,Bobsleigh,"HEATON, John",USA,Men,Individual,2
1948,St.Moritz,Skating,"BARTHELOMEW, Kenneth",USA,Men,500M,2
1948,St.Moritz,Skating,"FITZGERALD, Robert",USA,Men,500M,2
1948,St.Moritz,Skiing,"FRASER, Gretchen",USA,Women,Alpine Combined,2
1952,Oslo,Bobsleigh,"ATKINSON, James Neil",USA,Men,Four-Man,2
1952,Oslo,Bobsleigh,"BENHAM, Stanley Delong",USA,Men,Four-Man,2
1952,Oslo,Bobsleigh,"CROSSETT, Howard Wallace",USA,Men,Four-Man,2
1952,Oslo,Bobsleigh,"MARTIN, Patrick Henry",USA,Men,Four-Man,2
1952,Oslo,Bobsleigh,"BENHAM, Stanley Delong",USA,Men,Two-Man,2
1952,Oslo,Bobsleigh,"MARTIN, Patrick Henry",USA,Men,Two-Man,2
1952,Oslo,Ice Hockey,"BJORKMAN, Ruben Eugene",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"CEGLARSKI, Leonard Stanley",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"CZARNOTA, Joseph John",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"DESMOND, Richard Joseph",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"GAMBUCCI, Andrթ Peter",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"HARRISON, Clifford",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"KILMARTIN, Gerald Walsh",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"MULHERN, John Francis",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"NOAH, John Michael",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"OSS, Arnold Carl",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"ROMPRE, Robert Edward",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"SEDIN, James Walter",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"VAN ALLEN, Alfred",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"WHISTON, Donald Francis",USA,Men,Ice Hockey,2
1952,Oslo,Ice Hockey,"YACKEL, Kenneth James",USA,Men,Ice Hockey,2
1952,Oslo,Skating,"ALBRIGHT, Tenley",USA,Women,Individual,2
1952,Oslo,Skating,"KENNEDY, Karol",USA,Women,Pairs,2
1952,Oslo,Skating,"KENNEDY, Michael",USA,Men,Pairs,2
1952,Oslo,Skating,"MCDERMOTT, Donald",USA,Men,500M,2
1956,Cortina d'Ampezzo,Ice Hockey,"ANDERSON, Wendell Richard",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"BURTNETT, Wellington Parker",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"CAMPBELL, Eugene Edward",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"CHRISTIAN, Gordon Eugene",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"CLEARY, William John",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"DOUGHERTY, Richard Leo",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"IKOLA, Willard John",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"MATCHEFTS, John Peter",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"MAYASICH, John Edward",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"MCKINNON, Daniel Duncan",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"MEREDITH, Richard Otis",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"OLSON, Weldon Howard",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"PETTROSKE, John Edward",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"PURPUR, Kenneth Richard",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"RIGAZIO, Donald Edmund",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"RODENHEISER, Richard Peter",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Ice Hockey,"SAMPSON, Edward Horace",USA,Men,Ice Hockey,2
1956,Cortina d'Ampezzo,Skating,"ROBERTSON, Ronald",USA,Men,Individual,2
1956,Cortina d'Ampezzo,Skating,"HEISS, Carol",USA,Women,Individual,2
1960,Squaw Valley,Skating,"DISNEY, William",USA,Men,500M,2
1960,Squaw Valley,Skiing,"PITOU, Penelope",USA,Women,Downhill,2
1960,Squaw Valley,Skiing,"PITOU, Penelope",USA,Women,Giant Slalom,2
1960,Squaw Valley,Skiing,"SNITE, Betsy",USA,Women,Slalom,2
1964,Innsbruck,Skiing,"SAUBERT, Jean",USA,Women,Giant Slalom,2
